policy,size,metric,evidence_class,count,mean,median,min,max,stdev,p95,correct_runs,total_runs
prefetch_none,1G,kernel_1_demand_ms,PROGRAM_TIMING,5,9845.1257812,9704.108398,9631.767578,10497.893555,366.1199769936109,10497.893555,6,6
prefetch_none,1G,kernel_1_over_kernel_2,PROGRAM_TIMING,5,2440.35949632562,2404.0254585037733,2388.5279394084882,2604.6364773385894,92.05498553000197,2604.6364773385894,6,6
prefetch_none,1G,kernel_2_hot_ms,PROGRAM_TIMING,5,4.0343552,4.035584,4.030464,4.036608,0.002747680330751792,4.036608,6,6
prefetch_none,256M,allocation_ms,PROGRAM_TIMING,10,0.2384531,0.238163,0.22617,0.24776,0.007704509998839787,0.24776,14,14
prefetch_none,256M,cpu_first_touch_ms,PROGRAM_TIMING,10,2025.3553304000002,2026.917589,2011.397343,2032.995364,7.22616881587953,2032.995364,14,14
prefetch_none,256M,kernel_1_demand_ms,PROGRAM_TIMING,10,2111.1657469,2109.295654,2089.434082,2144.414795,16.663038398586018,2144.414795,14,14
prefetch_none,256M,kernel_1_over_kernel_2,PROGRAM_TIMING,10,2116.0630136404443,2112.6421623164824,2097.084245326953,2147.851357171475,15.815304558686433,2147.851357171475,14,14
prefetch_none,256M,kernel_2_hot_ms,PROGRAM_TIMING,10,0.9976832,0.997376,0.996352,0.999424,0.0009714516972037003,0.999424,14,14
custom_no_policy,1G,chunk_activate_count,GPU_EXT_CHUNK_TRACE,1,1536.0,1536.0,1536.0,1536.0,0.0,1536.0,6,6
custom_no_policy,1G,eviction_prepare_count,GPU_EXT_CHUNK_TRACE,1,0.0,0.0,0.0,0.0,0.0,0.0,6,6
custom_no_policy,1G,max_region_pages_mean,GPU_EXT_PREFETCH_TRACE,1,512.0,512.0,512.0,512.0,0.0,512.0,6,6
custom_no_policy,1G,prefetch_callback_count,GPU_EXT_PREFETCH_TRACE,1,57562.0,57562.0,57562.0,57562.0,0.0,57562.0,6,6
custom_no_policy,256M,chunk_activate_count,GPU_EXT_CHUNK_TRACE,4,384.0,384.0,384.0,384.0,0.0,384.0,14,14
custom_no_policy,256M,eviction_prepare_count,GPU_EXT_CHUNK_TRACE,4,0.0,0.0,0.0,0.0,0.0,0.0,14,14
custom_no_policy,256M,gpu_fault_count,NSIGHT_UVM,1,5742.0,5742.0,5742.0,5742.0,0.0,5742.0,14,14
custom_no_policy,256M,h2d_migration_mb,NSIGHT_UVM,1,805.306,805.306,805.306,805.306,0.0,805.306,14,14
custom_no_policy,256M,kernel_1_demand_gpu_fault_count,NSIGHT_UVM,1,5742.0,5742.0,5742.0,5742.0,0.0,5742.0,14,14
custom_no_policy,256M,kernel_1_demand_h2d_migration_mb,NSIGHT_UVM,1,805.306,805.306,805.306,805.306,0.0,805.306,14,14
custom_no_policy,256M,kernel_2_hot_gpu_fault_count,NSIGHT_UVM,1,0.0,0.0,0.0,0.0,0.0,0.0,14,14
custom_no_policy,256M,kernel_2_hot_h2d_migration_mb,NSIGHT_UVM,1,0.0,0.0,0.0,0.0,0.0,0.0,14,14
custom_no_policy,256M,max_region_pages_mean,GPU_EXT_PREFETCH_TRACE,4,512.0,512.0,512.0,512.0,0.0,512.0,14,14
custom_no_policy,256M,prefetch_callback_count,GPU_EXT_PREFETCH_TRACE,4,17742.25,17304.0,17136.0,19225.0,992.836802635089,19225.0,14,14
prefetch_adaptive_sequential,1G,chunk_activate_count,GPU_EXT_CHUNK_TRACE,1,1536.0,1536.0,1536.0,1536.0,0.0,1536.0,6,6
prefetch_adaptive_sequential,1G,eviction_prepare_count,GPU_EXT_CHUNK_TRACE,1,0.0,0.0,0.0,0.0,0.0,0.0,6,6
prefetch_adaptive_sequential,1G,max_region_pages_mean,GPU_EXT_PREFETCH_TRACE,1,512.0,512.0,512.0,512.0,0.0,512.0,6,6
